Museum Name	Legal Name	Museum Type	Latitude	Longitude	Income	Revenue
FORT WAYNE ZOOLOGICAL SOCIETY	FORT WAYNE ZOOLOGICAL SOCIETY INC	ZOO, AQUARIUM, OR WILDLIFE CONSERVATION	41.10484	-85.15322	11697898.0	9738644.0
FOUNTAIN COUNTY GENEALOGY SOCIETY	FOUNTAIN COUNTY GENEALOGY SOCIETY	HISTORIC PRESERVATION	40.11547	-87.25211	0.0	0.0
FOUNTAIN COUNTY WAR MEMORIAL MUSEUM	FOUNTAIN COUNTY WAR MEMORIAL MUSEUM INC	HISTORY MUSEUM	40.11547	-87.25211	0.0	0.0
FOUR PRESIDENTS CORNERS HISTORICAL SOCIETY	FOUR PRESIDENTS CORNERS HISTORICAL SOCIETY	HISTORIC PRESERVATION	41.00813	-84.87557	0.0	0.0
FRANCO D�AGOSTINO ART GALLERY	INDIANA INSTITUTE OF TECHNOLOGY INC	ART MUSEUM	41.079	-85.11707	114117411.0	91166740.0
FRANKFORT-MIDWEST RAIL HERITAGE TRUST	FRANKFORT-MIDWEST RAIL HERITAGE TRUST INC	HISTORY MUSEUM	40.28219	-86.51062	0.0	0.0
FRANKLIN COUNTY CITIZENS FOR HISTORIC PRESERVATION	FRANKLIN COUNTY CITIZENS FOR HISTORIC PRESERVATION	HISTORIC PRESERVATION	39.38906	-84.87337	0.0	0.0
FRANKLIN COUNTY HISTORICAL SOCIETY	FRANKLIN COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	39.42333	-85.0128	0.0	0.0
FRANKLIN HERITAGE	FRANKLIN HERITAGE INC	HISTORIC PRESERVATION	39.48105	-86.05512	396185.0	316420.0
FRANKLIN TOWNSHIP HISTORICAL SOCIETY	FRANKLIN TOWNSHIP MARION COUNTY INDIANA HISTORICAL SOCIETY	HISTORIC PRESERVATION	39.67638	-86.0187	0.0	0.0
FREEDOM HERITAGE MUSEUM	FREEDOM HERITAGE MUSEUM INC	HISTORY MUSEUM	38.07355	-87.60279	0.0	0.0
FREEMAN ARMY AIR FIELD MUSEUM	FREEMAN ARMY AIR FIELD MUSEUM INC	GENERAL MUSEUM	38.9254	-85.90937	0.0	0.0
FREETOWN VILLAGE	FREETOWN VILLAGE INC	HISTORIC PRESERVATION	39.77584	-86.16692	127636.0	127636.0
FRENCH LICK WEST BADEN MUSEUM	FRENCH LICK WEST BADEN MUSEUM	GENERAL MUSEUM	38.54871	-86.62035	99321.0	96181.0
FULTON COUNTY HISTORICAL POWER ASSOCIATION	FULTON COUNTY HISTORICAL POWER ASSOCIATION	HISTORIC PRESERVATION	41.11043	-86.24089	0.0	0.0
FULTON COUNTY HISTORICAL SOCIETY	FULTON COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.11043	-86.24089	185177.0	124554.0
GARFIELD PARK	FRIENDS OF GARFIELD PARK INC	NATURAL HISTORY MUSEUM	39.73052	-86.14332	73178.0	73178.0
GARY HISTORICAL AND CULTURAL SOCIETY	GARY HISTORICAL AND CULTURAL SOCIETY INC	HISTORIC PRESERVATION	41.60185	-87.36681	0.0	0.0
GAS CITY HISTORICAL SOCIETY & MUSEUM	GAS CITY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	40.49159	-85.60577	19115.0	19115.0
GAS CITY MUSEUM	GAS CITY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	40.49159	-85.60577	19115.0	19115.0
GENE STRATTON PORTER MEMORIAL SOCIETY	GENE STRATTON PORTER MEMORIAL SOCIETY INC	HISTORIC PRESERVATION	41.4826	-85.35115	52550.0	39316.0
GENEALOGICAL SOCIETY OF MARION COUNTY	GENEALOGICAL SOCIETY OF MARION COUNTY	HISTORIC PRESERVATION	39.76142	-86.1617	0.0	0.0
GOSHEN COLLEGE ART GALLERY	GOSHEN COLLEGE INC	ART MUSEUM	41.5654	-85.82849	42467803.0	36079896.0
GOSHEN HISTORICAL SOCIETY	GOSHEN HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.58566	-85.83589	0.0	0.0
GOSPORT MUSEUM SOCIETY	GOSPORT MUSEUM SOCIETY	GENERAL MUSEUM	39.35827	-86.66073	0.0	0.0
GRABILL HISTORICAL SOCIETY	GRABILL HISTORICAL SOCIETY INCORPORATED	HISTORIC PRESERVATION	41.20974	-84.96962	0.0	0.0
GRANT COUNTY HISTORICAL SOCIETY	GRANT COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	40.56387	-85.66822	0.0	0.0
GRANT COUNTY SPORTS HALL OF FAME	GRANT COUNTY SPORTS HALL OF FAME INC	GENERAL MUSEUM	40.5711	-85.68597	0.0	0.0
GREATER FORT WAYNE AVIATION MUSEUM	GREATER FORT WAYNE AVIATION MUSEUM INC	GENERAL MUSEUM	41.01758	-85.17177	0.0	0.0
GREATER LAFAYETTE MUSEUM OF ART	ART MUSEUM OF GREATER LAFAYETTE INC	ART MUSEUM	40.4172	-86.88589	452018.0	361488.0
GREENE COUNTY INDIANA HISTORICAL SOCIETY	GREENE COUNTY INDIANA HISTORICAL SOCIETY	HISTORIC PRESERVATION	39.02616	-86.93728	0.0	0.0
GREENE-NIEUWLAND HERBARIUM	UNIVERSITY OF NOTRE DAME DU LAC	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	41.70532	-86.2287	2908175692.0	1584150976.0
GREENFIELD MUSEUM	GREENFIELD MUSEUM INITIATIVE INC	HISTORY MUSEUM	39.82545	-86.14024	66805.0	66805.0
GREENTOWN GLASS MUSEUM	GREENTOWN GLASS MUSEUM INC	GENERAL MUSEUM	40.48181	-85.97295	0.0	0.0
GREENTOWN HISTORICAL SOCIETY	GREENTOWN HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	40.48181	-85.97295	0.0	0.0
GREINER ART GALLERY	HANOVER COLLEGE TRUSTEES	ART MUSEUM	38.69347	-85.47824	113157213.0	53495780.0
GRIFFITH HISTORICAL SOCIETY	GRIFFITH HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.55416	-87.41647	0.0	0.0
GRISSOM AIR MUSEUM	HERITAGE MUSEUM FOUNDATION AT GRISSOM AIR FORCE BASE INDIAN	HISTORY MUSEUM	40.66695	-86.13558	169470.0	146082.0
GRUENEWALD HISTORIC HOUSE	GRUENEWALD HISTORIC HOUSE INC	HISTORY MUSEUM	40.10878	-85.67811	0.0	0.0
GUSTAV JEENINGA MUSEUM OF BIBLE AND NEAR EASTERN STUDIES	ANDERSON UNIVERSITY INC	GENERAL MUSEUM	40.11126	-85.66592	74227812.0	70367698.0
HALEY TOWER HISTORICAL & TECHNICAL SOCIETY	HALEY TOWER HISTORICAL & TECHNICAL SOCIETY	HISTORY MUSEUM	39.48582	-87.39602	12929.0	0.0
HALL CIVIC ASSOCIATION	HALL CIVIC ASSOCIATION	HISTORIC PRESERVATION	39.52367	-86.52933	0.0	0.0
HAMILTON COUNTY HISTORICAL	HAMILTON COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	40.03931	-86.00197	0.0	0.0
HAMILTON COUNTY HISTORICAL SOCIETY	HAMILTON COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	40.03931	-86.00197	0.0	0.0
HAMMOND HISTORICAL SOCIETY	HAMMOND HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.61815	-87.51597	0.0	0.0
HANCOCK COUNTY HISTORICAL SOCIETY	HANCOCK COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	39.80052	-85.78782	0.0	0.0
HANCOCK COUNTY HISTORICAL SOCIETY	HANCOCK COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	39.80052	-85.78782	0.0	0.0
HARRISON COUNTY HISTORICAL SOCIETY	HARRISON COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	38.26625	-86.12568	0.0	0.0
HAYDEN HISTORICAL MUSEUM	HAYDEN HISTORICAL MUSEUM INC	HISTORY MUSEUM	38.97982	-85.73948	0.0	0.0
HEBRON HISTORICAL SOCIETY	HEBRON HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.33187	-87.20708	0.0	0.0
HENAGER'S MEMORIES & NOSTALGIA	HENAGER FAMILY MUSEUM HENAGERS MEMORIES & NOSTALGIA	HISTORY MUSEUM	38.22755	-87.41006	0.0	0.0
HENDRICKS COUNTY ANGEL OF HOPE	HENDRICKS COUNTY ANGEL OF HOPE INC	HISTORIC PRESERVATION	39.76051	-86.53041	0.0	0.0
HENDRICKS COUNTY HERITAGE	HENDRICKS COUNTY HERITAGE INCORPORATED	HISTORIC PRESERVATION	39.68762	-86.5177	0.0	0.0
HENDRICKS COUNTY MUSEUM	FRIENDS OF THE HENDRICKS COUNTY HISTORICAL MUSEUM INC	HISTORIC PRESERVATION	39.75939	-86.52397	0.0	0.0
HENRY COUNTY HISTORICAL SOCIETY	HENRY COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	39.92537	-85.36884	0.0	0.0
HENRY COUNTY HISTORICAL SOCIETY MUSEUM	HENRY COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	39.92537	-85.36884	0.0	0.0
HERITAGE OF HOPE	HERITAGE OF HOPE INC	HISTORIC PRESERVATION	39.30308	-85.77004	76919.0	76919.0
HESSTON STEAM MUSEUM	LA PORTE COUNTY HISTORICAL STEAM SOCIETY INC	HISTORIC PRESERVATION	41.75299	-86.67306	268370.0	247684.0
HILLFOREST VICTORIAN HOUSE MUSEUM	HILLFOREST HISTORICAL FOUNDATION INC	HISTORIC PRESERVATION	39.05347	-84.90023	243140.0	243140.0
HISTORIC ALLEN CHAPEL	FRIENDS OF HISTORIC ALLEN CHAPEL INCORPORATED	HISTORIC PRESERVATION	39.46631	-87.35271	24630.0	24630.0
HISTORIC AMBASSODOR HOUSE & HERITAGE GARDENS	HISTORIC AMBASSADOR HOUSE AND HERITAGE GARDENS INC	HISTORIC PRESERVATION	39.94061	-86.0601	0.0	0.0
HISTORIC BREMEN	HISTORIC BREMEN INC	HISTORIC PRESERVATION	41.44667	-86.14659	0.0	0.0
HISTORIC CENTERVILLE	HISTORIC CENTERVILLE INC	GENERAL MUSEUM	39.80219	-85.01625	0.0	0.0
HISTORIC CONNERSVILLE	HISTORIC CONNERSVILLE INC	HISTORY MUSEUM	39.6401	-85.13977	68102.0	66100.0
HISTORIC FIVE POINTS FIRE STATION EDUCATIONAL CENTER	HISTORIC FIVE POINTS FIRE STATION EDUCATIONAL CENTER INC	GENERAL MUSEUM	40.41811	-86.87975	0.0	0.0
HISTORIC FORKS OF THE WABASH	HISTORIC FORKS OF THE WABASH INC	HISTORIC PRESERVATION	40.87743	-85.5307	82613.0	78089.0
HISTORIC FORT WAYNE	HISTORIC FORT WAYNE INC	HISTORIC PRESERVATION	41.07192	-85.13666	113138.0	102955.0
HISTORIC HAGERSTOWN	HISTORIC HAGERSTOWN INC	HISTORIC PRESERVATION	39.91932	-85.16276	26345.0	25541.0
HISTORIC HOOSIER HILLS R C & D	HISTORIC HOOSIER HILLS R C & D INC	HISTORIC PRESERVATION	39.02964	-85.26185	709963.0	709963.0
HISTORIC IRVINGTON PLEASANT RUN RUN	HISTORIC IRVINGTON PLEASANT RUN RUN INC	HISTORIC PRESERVATION	39.77834	-86.09761	0.0	0.0
HISTORIC JAIL MUSEUM	KOSCIUSKO COUNTY HISTORICAL SOCIETY INCORPORATED	HISTORIC PRESERVATION	41.23701	-85.86012	82122.0	79331.0
HISTORIC LADOGA	HISTORIC LADOGA INC	HISTORIC PRESERVATION	39.9147	-86.80388	0.0	0.0
HISTORIC LADOGA INC.-OLD NORMAL SCHOOL	HISTORIC LADOGA INC	HISTORIC PRESERVATION	39.90784	-86.80608	0.0	0.0
HISTORIC LANDMARKS OF FOUNTAIN COUNTY	HISTORIC LANDMARKS OF FOUNTAIN COUNTY	HISTORIC PRESERVATION	40.30044	-87.22999	0.0	0.0
HISTORIC LINDEN	HISTORIC LINDEN INC	HISTORIC PRESERVATION	40.10559	-86.91167	0.0	0.0
HISTORIC MADISON FOUNDATION	HISTORIC MADISON FOUNDATION INC	HISTORIC PRESERVATION	38.73749	-85.38016	510399.0	340516.0
HISTORIC METAMORA	HISTORIC METAMORA INC	HISTORIC PRESERVATION	39.43089	-85.12828	0.0	0.0
HISTORIC MICHIGAN ROAD ASSOCIATION	HISTORIC MICHIGAN ROAD ASSOCIATION INC	HISTORIC PRESERVATION	41.39038	-86.2908	0.0	0.0
HISTORIC NEW CARLISLE	HISTORIC NEW CARLISLE INCORPORATED	HISTORIC PRESERVATION	41.70878	-86.51612	159315.0	153358.0
HISTORIC NEWBURGH	HISTORIC NEWBURGH INC	HISTORIC PRESERVATION	37.94693	-87.41181	146823.0	86104.0
HISTORIC PRESERVATION OF PORTER COUNTY	HISTORIC PRESERVATION OF PORTER COUNTY	HISTORIC PRESERVATION	41.44946	-87.08251	0.0	0.0
HISTORIC VEVAY	HISTORIC VEVAY INC	HISTORIC PRESERVATION	38.75073	-85.07167	0.0	0.0
HISTORIC WEST EIGHTH STREET SOCIETY	HISTORIC WEST EIGHTH STREET SOCIETY INC	HISTORY MUSEUM	40.10609	-85.67827	0.0	0.0
HISTORICAL SOCIETY OF HARRISON COUNTY	HISTORICAL SOCIETY OF HARRISON COUNTY INC	HISTORIC PRESERVATION	38.24803	-86.23471	109023.0	109023.0
HISTORICAL SOCIETY OF OGDEN DUNES INDIANA	HISTORICAL SOCIETY OF OGDEN DUNES INDIANA INC	HISTORIC PRESERVATION	41.61965	-87.18982	0.0	0.0
HISTORICAL SOCIETY OF THE UNITED STATES DISTRICT COURT	HISTORICAL SOCIETY OF THE UNITED STATES DISTRICT COURT INC	HISTORIC PRESERVATION	39.76997	-86.15672	0.0	0.0
HOBART HISTORICAL SOCIETY	HOBART HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.53195	-87.25202	0.0	0.0
HOOSIER AIR MUSEUM	HOOSIER WARBIRDS INC	GENERAL MUSEUM	41.36007	-85.05024	0.0	0.0
HOOSIER HERPETOLOGICAL SOCIETY	HOOSIER HERPETOLOGICAL SOCIETY INC	ZOO, AQUARIUM, OR WILDLIFE CONSERVATION	39.87109	-86.16492	0.0	0.0
HOOSIER OLD WHEELS	HOOSIER OLD WHEELS INC	HISTORIC PRESERVATION	41.34813	-86.32089	0.0	0.0
HOOSIER SALON PATRONS ASSOCIATION	HOOSIER SALON PATRONS ASSOCIATION	HISTORIC PRESERVATION	39.87342	-86.14607	441354.0	336030.0
HOOSIER VALLEY RAILROAD MUSEUM	HOOSIER VALLEY RAILROAD MUSEUM INC	HISTORY MUSEUM	41.21868	-86.77337	152640.0	152640.0
HOOSIER WARBIRDS	HOOSIER WARBIRDS INC	GENERAL MUSEUM	41.28772	-85.03998	0.0	0.0
HOWARD COUNTY AUTOMOTIVE HERITAGE HALL OF FAME	HOWARD COUNTY AUTOMOTIVE HERITAGEHALL OF FAME INC	HISTORY MUSEUM	40.45474	-86.13656	14373.0	14373.0
HOWARD COUNTY HISTORICAL SOCIETY	HOWARD COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	40.48645	-86.14454	319180.0	284550.0
HOWARD STEAMBOAT MUSEUM	CLARK COUNTY HISTORICAL SOCIETY AND HOWARD STEAMBOAT MUSEUM	HISTORIC PRESERVATION	38.27772	-85.7256	153904.0	153695.0
HUNTERTOWN HISTORICAL SOCIETY	HUNTERTOWN HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.24831	-85.19197	0.0	0.0
HUNTINGBURG MUSEUM	HUNTINGBURG MUSEUM INC	GENERAL MUSEUM	38.29613	-86.95317	12793.0	12660.0
HUNTINGTON COUNTY HISTORICAL SOCIETY	HUNTINGTON COUNTY HISTORICAL SOCIETY	HISTORIC PRESERVATION	40.88155	-85.49127	0.0	0.0
HUNTINGTON UNIVERSITY ARBORETUM AND BOTANICAL GARDEN	HUNTINGTON UNIVERSITY INC	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	40.89878	-85.49657	42490214.0	35560338.0
ILLIANA ANTIQUE POWER ASSOCIATION	ILLIANA ANTIQUE POWER ASSOCIATION	HISTORIC PRESERVATION	40.37972	-87.33258	0.0	0.0
INDIANA AFRICAN AMERICAN GENEOLOGY GROUP	INDIANA AFRICAN AMERICAN GENEOLOGY GROUP	HISTORIC PRESERVATION	39.76142	-86.1617	3043.0	3043.0
INDIANA BASEBALL HALL OF FAME	INDIANA BASEBALL HALL OF FAME INC	GENERAL MUSEUM	38.39895	-86.9249	38791.0	38791.0
INDIANA BASKETBALL HALL OF FAME	INDIANA BASKETBALL HALL OF FAME	GENERAL MUSEUM	39.91492	-85.37978	1555424.0	581653.0
INDIANA BASKETBALL HALL OF FAME FOUNDATION	INDIANA BASKETBALL HALL OF FAME FOUNDATION INC	GENERAL MUSEUM	39.91492	-85.37978	1555424.0	581653.0
INDIANA FOOTBALL HALL OF FAME	INDIANA FOOTBALL HALL OF FAME INC	GENERAL MUSEUM	39.8307	-84.89418	77284.0	58831.0
INDIANA FREEDOM MEMORIAL	INDIANA FREEDOM MEMORIAL FOUNDATION INC	HISTORIC PRESERVATION	39.96832	-86.13105	79710.0	39013.0
INDIANA HERITAGE QUILT SHOW	INDIANA HERITAGE QUILT SHOW INC	ART MUSEUM	39.17137	-86.49533	62788.0	62190.0
INDIANA HIGH SCHOOL SWIMMING & DIVING HALL OF FAME CLASSIC	INDIANA HIGH SCHOOL SWIMMING AND DIVING HALL OF FAME INC	GENERAL MUSEUM	40.42087	-84.97323	3310.0	2455.0
INDIANA HISTORICAL RADIO SOCIETY	INDIANA HISTORICAL RADIO SOCIETY INC	HISTORIC PRESERVATION	39.77115	-86.11307	0.0	0.0
INDIANA HISTORICAL SOCIETY	INDIANA HISTORICAL SOCIETY	HISTORIC PRESERVATION	39.77019	-86.16635	48363675.0	10926021.0
INDIANA JEWISH HISTORICAL SOCIETY	INDIANA JEWISH HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.06789	-85.22398	30621.0	30621.0
INDIANA MEDICAL HISTORY MUSEUM	INDIANA MEDICAL HISTORY MUSEUM INC	HISTORY MUSEUM	39.77209	-86.21499	98225.0	98225.0
INDIANA MILITARY MUSEUM	INDIANA MILITARY MUSEUM INC	HISTORY MUSEUM	38.67154	-87.53855	132376.0	128376.0
INDIANA RAILWAY MUSEUM	INDIANA RAILWAY MUSEUM INC	GENERAL MUSEUM	38.56972	-86.61204	1567057.0	1444609.0
INDIANA STATE MUSEUM FOUNDATION	INDIANA STATE MUSEUM FOUNDATION INC	HISTORY MUSEUM	39.76694	-86.14645	2148605.0	1868303.0
INDIANA TRANSPORTATION MUSEUM	INDIANA TRANSPORTATION MUSEUM INC	GENERAL MUSEUM	40.03931	-86.00197	604829.0	604829.0
INDIANA WAR MEMORIAL	INDIANA WAR MEMORIALS FOUNDATION INC	GENERAL MUSEUM	39.88876	-86.046	137900.0	125725.0
INDIANAPOLIS ART LEAGUE	INDIANAPOLIS ART CENTER INC	ART MUSEUM	39.87757	-86.14458	3066847.0	2816266.0
INDIANAPOLIS MOTOR SPEEDWAY HALL OF FAME MUSEUM	INDIANAPOLIS MOTOR SPEEDWAY FOUNDATION INC	GENERAL MUSEUM	39.78753	-86.23904	3223109.0	2051410.0
INDIANAPOLIS MUSEUM OF ART	INDIANAPOLIS MUSEUM OF ART INC	ART MUSEUM	39.82828	-86.18258	73775064.0	22919525.0
INDIANAPOLIS MUSEUM OF CONTEMPORARY ART	INDIANAPOLIS MUSEUM OF CONTEMPORARY ART INC	ART MUSEUM	39.75335	-86.1413	198834.0	198834.0
INDIANAPOLIS MUSEUM OF CONTEMPORARYARTS	INDIANAPOLIS MUSEUM OF CONTEMPORARY ART INC	ART MUSEUM	39.75335	-86.1413	198834.0	198834.0
INDIANAPOLIS ZOOLOGICAL SOCIETY	INDIANAPOLIS ZOOLOGICAL SOCIETY INC	ZOO, AQUARIUM, OR WILDLIFE CONSERVATION	39.76705	-86.13791	67169855.0	32383877.0
INDIANAS HISTORIC PATHWAYS	INDIANAS HISTORIC PATHWAYS INC	HISTORIC PRESERVATION	38.27168	-85.74053	0.0	0.0
INTERNATIONAL CIRCUS HALL OF FAME	CIRCUS HALL OF FAME INC	GENERAL MUSEUM	40.73276	-86.07755	50733.0	43207.0
INTERNATIONAL MONSTER TRUCK MUSEUM AND HALL OF FAME	INTERNATIONAL MONSTER TRUCK MUSEUM AND HALL OF FAME INCORPO	GENERAL MUSEUM	41.32227	-85.02143	14102.0	14102.0
IRELAND HISTORICAL SOCIETY	IRELAND HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	38.40032	-87.04178	0.0	0.0
IROQUOIS-WASHINGTON PRESERVATION COMMITTEE	IROQUOIS-WASHINGTON PRESERVATION COMMITTEE	HISTORIC PRESERVATION	40.77723	-87.44634	0.0	0.0
IRVINGTON HISTORICAL SOCIETY	IRVINGTON HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	39.76616	-86.07748	0.0	0.0
J H RATHBONE MUSEUM AND RESOURCE CENTER	J H RATHBONE MUSEUM AND RESOURCE CENTER	GENERAL MUSEUM	40.41604	-86.86081	0.0	0.0
JACKSON COUNTY ANTIQUE MACHINERY ASSOCIATION	JACKSON CO ANTIZUE MACHINERY ASSN INC	GENERAL MUSEUM	38.85253	-85.79803	0.0	0.0
JACKSON TOWNSHIP HISTORICAL SOCIETY	JACKSON TOWNSHIP HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	39.96149	-86.61679	0.0	0.0
JASPER COUNTY HISTORICAL SOCIETY	JASPER COUNTY HISTORICAL SOCIETY	HISTORIC PRESERVATION	40.94024	-87.15542	0.0	0.0
JAY COUNTY HISTORICAL SOCIETY	JAY COUNTY HISTORICAL SOCIETY INCORPORATED	HISTORIC PRESERVATION	40.43344	-84.96648	85513.0	75575.0
JEFFERSON COUNTY HISTORICAL SOCIETY	JEFFERSON COUNTY HISTORICAL SOCIETY	HISTORIC PRESERVATION	38.73554	-85.38663	127684.0	117563.0
JEFFERSON COUNTY PRESERVATION COUNCIL	JEFFERSON COUNTY PRESERVATION COUNCIL INC	HISTORIC PRESERVATION	38.88677	-85.2229	0.0	0.0
JESSIE C. WILSON GALLERIES	ANDERSON UNIVERSITY INC	ART MUSEUM	40.11126	-85.66592	74227812.0	70367698.0
JIMTOWN HISTORICAL MUSEUM	JIMTOWN HISTORICAL MUSEUM INC	HISTORY MUSEUM	41.62733	-86.02444	0.0	0.0
JOHN DILLENGER BANK ROBBERY RUN AND DALEVILLE CLASSIC CAR CLUB	JOHN DILLENGER BANK ROBBERY RUN AND DALEVILLE CLASSIC CAR C	HISTORIC PRESERVATION	40.1278	-85.55707	0.0	0.0
JOHNSON CENTER FOR FINE ARTS	FRANKLIN COLLEGE OF INDIANA	ART MUSEUM	39.48095	-86.04525	64783176.0	40355206.0
JOHNSON COUNTY HISTORICAL SOCIETY	JOHNSON COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	39.48228	-86.05514	103573.0	102680.0
JONESBORO HISTORICAL SOCIETY	JONESBORO HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	40.48234	-85.62793	0.0	0.0
JOSEPH BOGGS SOCIETY FOR HISTORICAL PRESERVATION	JOSEPH BOGGS SOCIETY FOR HISTORICAL PRESERVATION INC	HISTORIC PRESERVATION	39.55948	-85.91592	0.0	0.0
JOSEPH MOORE MUSEUM OF NATURAL HISTORY	EARLHAM COLLEGE	NATURAL HISTORY MUSEUM	39.82555	-84.91992	111953458.0	90078756.0
JOSHUA TREE EARTH AND SPACE MUSEUM	JOSHUA TREE EARTH AND SPACE MUSEUM INCORPORATION	NATURAL HISTORY MUSEUM	41.52651	-86.28167	800.0	800.0
KANKAKEE VALLEY HISTORICAL SOCIETY	KANKAKEE VALLEY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.28189	-87.07429	0.0	0.0
KENDALLVILLE HERITAGE ASSOCIATION	KENDALLVILLE HERITAGE ASSOCIATION INC	HISTORIC PRESERVATION	41.45382	-85.25516	0.0	0.0
KIDSCOMMONS - COLUMBUS' COMMUNITY CHILDREN'S MUSEUM	KIDSCOMMONS COLUMBUS COMMUNITY CHILDRENS MUSEUM INC	CHILDREN'S MUSEUM	39.20162	-85.92093	457887.0	437992.0
KINSEY INSTITUTE FOR RESEARCH IN SEX GENDER AND REPRODUCTION	KINSEY INSTITUTE FOR RESEARCH IN SEX GENDER AND REPRODUCTIO	SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM	39.16435	-86.51959	228222.0	218043.0
KOCH FAMILY CHILDREN'S MUSEUM OF EVANSVILLE	LOUIS J KOCH FAMILY CHILDRENS MUSEUM OF EVANSVILLE INC	CHILDREN'S MUSEUM	37.97198	-87.56978	888531.0	847404.0
KOSCIUSKO COUNTY HISTORICAL	KOSCIUSKO COUNTY HISTORICAL SOCIETY INCORPORATED	HISTORIC PRESERVATION	41.23829	-85.85542	82122.0	79331.0
KOSCIUSKO COUNTY HISTORICAL SOCIETY	KOSCIUSKO COUNTY HISTORICAL SOCIETY INCORPORATED	HISTORIC PRESERVATION	41.23701	-85.86012	82122.0	79331.0
KURT VONNEGUT MEMORIAL LIBRARY	KURT VONNEGUT MEMORIAL LIBRARY INC	GENERAL MUSEUM	39.77256	-86.16341	359057.0	309303.0
LAFAYETTE INDIANA HISTORIC AUTO CLUB	LAFAYETTE INDIANA HISTORIC AUTO CLUB INC	HISTORIC PRESERVATION	40.45306	-86.91286	0.0	0.0
LAKE COUNTY HISTORICAL MUSEUM	LAKE COUNTY HISTORICAL SOCIETY	HISTORIC PRESERVATION	41.42391	-87.35156	293410.0	250860.0
LAKE COUNTY HISTORICAL SOCIETY	LAKE COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.42391	-87.35156	0.0	0.0
LAKE STATES DAIRY CENTER	LAKE STATES DAIRY CENTER INC	GENERAL MUSEUM	41.01083	-87.27619	2817299.0	2817299.0
LANGUAGE CONSERVANCY	LANGUAGE CONSERVANCY	HISTORIC PRESERVATION	39.19023	-86.5617	936769.0	936769.0
LANIER MANSION	LANIER MANSION FOUNDATION	HISTORIC PRESERVATION	38.73554	-85.38663	75335.0	59868.0
LANIER MANSION STATE HISTORIC SITE	LANIER MANSION FOUNDATION	HISTORIC PRESERVATION	38.73554	-85.38663	75335.0	59868.0
LAPORTE COUNTY HISTORICAL SOCIETY	LAPORTE COUNTY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	41.5949	-86.70766	213835.0	0.0
LAWRENCE COUNTY MUSEUM OF HISTORY	ST LAWRENCE COUNTY HISTORICAL ASSOCIATION	GENERAL MUSEUM	44.53731	-75.17698	474823.0	351379.0
LAWRENCE D BELL AIRCRAFT MUSEUM	LAWRENCE D BELL AIRCRAFT MUSEUM INC	GENERAL MUSEUM	41.16861	-86.01504	0.0	0.0
LEE BOTTOM AVIATION REFUGE	LEE BOTTOM AVIATION REFUGE LTD	HISTORY MUSEUM	38.63391	-85.44287	0.0	0.0
LEW WALLACE STUDY AND MUSEUM	LEW WALLACE STUDY PRESERVATION SOCIETY INC	HISTORIC PRESERVATION	40.03383	-86.90311	243058.0	241324.0
LEW WALLACE STUDY PRESERVATION SOCIETY	LEW WALLACE STUDY PRESERVATION SOCIETY INC	HISTORIC PRESERVATION	40.03955	-86.8952	243058.0	241324.0
LEWIS B. HERSHEY MUSEUM	TRINE UNIVERSITY INC	GENERAL MUSEUM	41.63414	-85.00503	74556807.0	70689349.0
LIFE IN FAIRBANKS TOWNSHIP	LIFE IN FAIRBANKS TOWNSHIP INCORPORATED	HISTORIC PRESERVATION	39.21917	-87.52517	23780.0	23780.0
